date,open,close,high,low,volume,amount,amplitude,pct,change,turnover
2019-12-16,102.484,102.5,102.504,102.483,909051,9317059840.0,0.02,0.02,0.019,8.16
2019-12-17,102.5,102.498,102.505,102.481,829663,8503762944.0,0.02,0.00,-0.002,7.45
2019-12-18,102.501,102.506,102.511,102.497,747683,7664008704.0,0.01,0.01,0.008,6.71
2019-12-19,102.51,102.522,102.528,102.508,623661,6393565184.0,0.02,0.02,0.016,5.60
2019-12-20,102.533,102.541,102.542,102.53,632813,6488692736.0,0.01,0.02,0.019,5.68
2019-12-23,102.543,102.559,102.564,102.536,831617,8528522496.0,0.03,0.02,0.018,7.47
2019-12-24,102.561,102.578,102.58,102.56,680751,6982162944.0,0.02,0.02,0.019,6.11
2019-12-25,102.578,102.584,102.586,102.573,1057653,10849038592.0,0.01,0.01,0.006,9.49
2019-12-26,102.584,102.575,102.584,102.571,743236,7623846656.0,0.01,-0.01,-0.009,6.67
2019-12-27,102.585,102.583,102.587,102.576,863614,8859228928.0,0.01,0.01,0.008,7.75
2019-12-30,102.586,102.564,102.589,102.556,934911,9589483776.0,0.03,-0.02,-0.019,8.39
2019-12-31,100.052,100.101,100.104,100.052,584269,5847287552.0,0.05,-2.40,-2.463,5.24
2020-01-02,100.106,100.113,100.116,100.098,707245,7080166912.0,0.02,0.01,0.012,6.35
2020-01-03,100.122,100.148,101.0,100.119,542982,5436875008.0,0.88,0.03,0.035,4.87
2020-01-06,100.147,100.152,100.156,100.139,655013,6559795968.0,0.02,0.00,0.004,5.88
2020-01-07,100.155,100.164,100.168,100.152,504406,5052154624.0,0.02,0.01,0.012,4.53
2020-01-08,100.167,100.176,100.177,100.165,467585,4683781888.0,0.01,0.01,0.012,4.20
2020-01-09,100.173,100.181,100.183,100.17,532310,5332450816.0,0.01,0.00,0.005,4.78
2020-01-10,100.187,100.201,100.203,100.187,419768,4205894080.0,0.02,0.02,0.020,3.77
2020-01-13,100.206,100.209,100.215,100.167,482930,4839360512.0,0.05,0.01,0.008,4.34
2020-01-14,100.211,100.224,100.225,100.204,441981,4429227008.0,0.02,0.01,0.015,3.97
2020-01-15,100.228,100.232,100.234,100.225,377867,3787382800.0,0.01,0.01,0.008,3.39
2020-01-16,100.23,100.234,100.238,100.229,442389,4434219776.0,0.01,0.00,0.002,3.97
2020-01-17,100.241,100.271,100.278,100.241,451517,4526742784.0,0.04,0.04,0.037,4.05
2020-01-20,100.262,100.26,100.276,100.257,562546,5640411136.0,0.02,-0.01,-0.011,5.05
2020-01-21,100.266,100.272,100.303,100.261,645088,6468471040.0,0.04,0.01,0.012,5.79
2020-01-22,100.271,100.302,100.329,100.269,749830,7519872512.0,0.06,0.03,0.030,6.73
2020-01-23,100.333,100.391,100.405,100.333,601375,6036473088.0,0.07,0.09,0.089,5.40
2020-02-03,100.311,100.353,100.359,100.265,849607,8522990848.0,0.09,-0.04,-0.038,7.63
2020-02-04,100.33,100.362,100.366,100.32,1085786,10895457792.0,0.05,0.01,0.009,9.75
2020-02-05,100.362,100.393,100.404,100.362,749026,7518940160.0,0.04,0.03,0.031,6.72
2020-02-06,100.395,100.402,100.409,100.39,820621,8238916096.0,0.02,0.01,0.009,7.37
2020-02-07,100.406,100.425,100.428,100.406,587795,5902339840.0,0.02,0.02,0.023,5.28
2020-02-10,100.427,100.42,100.432,100.408,619146,6217311488.0,0.02,0.00,-0.005,5.56
2020-02-11,100.414,100.41,100.419,100.401,601357,6038554112.0,0.02,-0.01,-0.010,5.40
2020-02-12,100.419,100.416,100.421,100.412,632359,6350021888.0,0.01,0.01,0.006,5.68
2020-02-13,100.422,100.424,100.426,100.417,629347,6320071936.0,0.01,0.01,0.008,5.65
2020-02-14,100.433,100.442,100.443,100.433,611606,6142815744.0,0.01,0.02,0.018,5.49
2020-02-17,100.446,100.434,100.449,100.417,775766,7791928832.0,0.03,-0.01,-0.008,6.96
2020-02-18,100.436,100.453,100.455,100.436,715116,7183083776.0,0.02,0.02,0.019,6.42
2020-02-19,100.461,100.468,100.47,100.456,650329,6533289728.0,0.01,0.01,0.015,5.84
2020-02-20,100.47,100.464,100.475,100.438,801475,8052371968.0,0.04,0.00,-0.004,7.19
2020-02-21,100.477,100.474,100.482,100.463,870683,8748005888.0,0.02,0.01,0.010,7.82
2020-02-24,100.481,100.493,100.495,100.481,770530,7742851072.0,0.01,0.02,0.019,6.92
2020-02-25,100.491,100.497,100.499,100.489,741384,7450441984.0,0.01,0.00,0.004,6.66
2020-02-26,100.5,100.521,100.522,100.499,737480,7412416000.0,0.02,0.02,0.024,6.62
2020-02-27,100.519,100.527,100.544,100.516,672581,6760942848.0,0.03,0.01,0.006,6.04
2020-02-28,100.526,100.58,100.599,100.525,701704,7055396608.0,0.07,0.05,0.053,6.30
2020-03-02,100.561,100.565,100.58,100.545,784134,7885159168.0,0.03,-0.01,-0.015,7.04
2020-03-03,100.549,100.569,100.574,100.549,821472,8260726272.0,0.02,0.00,0.004,7.37
2020-03-04,100.57,100.571,100.576,100.565,845981,8508118784.0,0.01,0.00,0.002,7.59
2020-03-05,100.567,100.571,100.574,100.557,1180149,11868247808.0,0.02,0.00,0.000,10.59
2020-03-06,100.58,100.594,100.598,100.579,801612,8063415040.0,0.02,0.02,0.023,7.20
2020-03-09,100.596,100.606,100.619,100.595,934644,9403097344.0,0.02,0.01,0.012,8.39
2020-03-10,100.6,100.586,100.603,100.576,1109906,11164416512.0,0.03,-0.02,-0.020,9.96
2020-03-11,100.59,100.611,100.615,100.589,952654,9584144128.0,0.03,0.02,0.025,8.55
2020-03-12,100.611,100.621,100.633,100.61,802499,8075023616.0,0.02,0.01,0.010,7.20
2020-03-13,100.617,100.625,100.627,100.605,893224,8987317504.0,0.02,0.00,0.004,8.02
2020-03-16,100.625,100.643,100.65,100.625,929617,9355348992.0,0.02,0.02,0.018,8.34
2020-03-17,100.636,100.651,100.655,100.63,946673,9527210496.0,0.02,0.01,0.008,8.50
2020-03-18,100.646,100.656,100.658,100.645,914513,9204844544.0,0.01,0.00,0.005,8.21
2020-03-19,100.656,100.66,100.663,100.651,1051217,10581276160.0,0.01,0.00,0.004,9.44
2020-03-20,100.66,100.679,100.684,100.659,850278,8560009472.0,0.02,0.02,0.019,7.63
2020-03-23,100.678,100.692,100.694,100.676,923202,9295483648.0,0.02,0.01,0.013,8.29
2020-03-24,100.679,100.681,100.69,100.678,878788,8847925504.0,0.01,-0.01,-0.011,7.89
2020-03-25,100.68,100.682,100.686,100.672,925290,9315831296.0,0.01,0.00,0.001,8.31
2020-03-26,100.689,100.684,100.693,100.68,913479,9197576192.0,0.01,0.00,0.002,8.20
2020-03-27,100.69,100.7,100.703,100.69,945918,9525198592.0,0.01,0.02,0.016,8.49
2020-03-30,100.703,100.698,100.708,100.692,948612,9552648192.0,0.02,0.00,-0.002,8.52
2020-03-31,100.702,100.708,100.709,100.695,755666,7609680384.0,0.01,0.01,0.010,6.78
2020-04-01,100.715,100.718,100.719,100.714,875426,8817005824.0,0.00,0.01,0.010,7.86
2020-04-02,100.72,100.719,100.726,100.716,850805,8569463296.0,0.01,0.00,0.001,7.64
2020-04-03,100.731,100.745,100.746,100.731,858329,8646650368.0,0.01,0.03,0.026,7.71
2020-04-07,100.74,100.746,100.748,100.739,976753,9840084480.0,0.01,0.00,0.001,8.77
2020-04-08,100.752,100.754,100.756,100.748,735023,7405510912.0,0.01,0.01,0.008,6.60
2020-04-09,100.755,100.761,100.764,100.754,739151,7447495680.0,0.01,0.01,0.007,6.64
2020-04-10,100.772,100.781,100.783,100.771,826440,8328506880.0,0.01,0.02,0.020,7.42
2020-04-13,100.781,100.786,100.787,100.779,739992,7457954048.0,0.01,0.00,0.005,6.64
2020-04-14,100.787,100.788,100.792,100.786,693629,6991008512.0,0.01,0.00,0.002,6.23
2020-04-15,100.792,100.787,100.793,100.785,707361,7129534976.0,0.01,0.00,-0.001,6.35
2020-04-16,100.791,100.791,100.793,100.787,761708,7677228032.0,0.01,0.00,0.004,6.84
2020-04-17,100.792,100.791,100.794,100.781,903845,9109897472.0,0.01,0.00,0.000,8.11
2020-04-20,100.797,100.801,100.802,100.797,690933,6964584448.0,0.00,0.01,0.010,6.20
2020-04-21,100.806,100.813,100.815,100.804,728520,7344137216.0,0.01,0.01,0.012,6.54
2020-04-22,100.815,100.819,100.821,100.814,653349,6586785792.0,0.01,0.01,0.006,5.86
2020-04-23,100.819,100.821,100.825,100.819,709525,7153568000.0,0.01,0.00,0.002,6.37
2020-04-24,100.829,100.834,100.837,100.829,664091,6696305408.0,0.01,0.01,0.013,5.96
2020-04-27,100.837,100.838,100.839,100.834,627603,6328495104.0,0.00,0.00,0.004,5.63
2020-04-28,100.84,100.842,100.842,100.837,679334,6850351360.0,0.00,0.00,0.004,6.10
2020-04-29,100.843,100.829,100.845,100.81,900608,9081468160.0,0.03,-0.01,-0.013,8.08
2020-04-30,100.855,100.845,100.867,100.823,1014940,10234362624.0,0.04,0.02,0.016,9.11
2020-05-06,100.831,100.852,100.858,100.814,1056252,10652263936.0,0.04,0.01,0.007,9.48
2020-05-07,100.852,100.864,100.869,100.852,863320,8707646464.0,0.02,0.01,0.012,7.75
2020-05-08,100.88,100.879,100.888,100.875,882179,8899342848.0,0.01,0.01,0.015,7.92
2020-05-11,100.883,100.888,100.892,100.881,791048,7980581888.0,0.01,0.01,0.009,7.10
2020-05-12,100.893,100.901,100.902,100.892,638734,6444624640.0,0.01,0.01,0.013,5.73
2020-05-13,100.903,100.907,100.909,100.902,581301,5865664768.0,0.01,0.01,0.006,5.22
2020-05-14,100.908,100.909,100.911,100.907,569508,5746861568.0,0.00,0.00,0.002,5.11
2020-05-15,100.914,100.919,100.92,100.911,802216,8095533568.0,0.01,0.01,0.010,7.20
2020-05-18,100.924,100.92,100.925,100.917,857726,8656173568.0,0.01,0.00,0.001,7.70
2020-05-19,100.92,100.923,100.926,100.905,833408,8410793472.0,0.02,0.00,0.003,7.48
2020-05-20,100.927,100.928,100.93,100.924,624172,6299607040.0,0.01,0.00,0.005,5.60
2020-05-21,100.932,100.932,100.933,100.93,667720,6739417856.0,0.00,0.00,0.004,5.99
2020-05-22,100.941,100.943,100.95,100.94,798991,8065418496.0,0.01,0.01,0.011,7.17
2020-05-25,100.946,100.949,100.952,100.946,686376,6928882688.0,0.01,0.01,0.006,6.16
2020-05-26,100.954,100.949,100.955,100.948,715828,7226351104.0,0.01,0.00,0.000,6.43
2020-05-27,100.954,100.953,100.957,100.951,724710,7316226560.0,0.01,0.00,0.004,6.51
2020-05-28,100.954,100.951,100.957,100.948,646637,6527944960.0,0.01,0.00,-0.002,5.80
2020-05-29,100.96,100.968,100.97,100.959,674901,6814194432.0,0.01,0.02,0.017,6.06
2020-06-01,100.971,100.966,100.972,100.96,1069827,10801563648.0,0.01,0.00,-0.002,9.60
2020-06-02,100.966,100.973,100.974,100.964,833471,8415532544.0,0.01,0.01,0.007,7.48
2020-06-03,100.973,100.981,100.982,100.973,842906,8511442688.0,0.01,0.01,0.008,7.57
2020-06-04,100.981,100.986,100.99,100.98,621567,6276902144.0,0.01,0.00,0.005,5.58
2020-06-05,100.995,101.005,101.007,100.995,634484,6408449792.0,0.01,0.02,0.019,5.70
2020-06-08,101.0,101.009,101.01,101.0,712419,7195858688.0,0.01,0.00,0.004,6.40
2020-06-09,101.01,101.011,101.013,101.008,649731,6562998784.0,0.00,0.00,0.002,5.83
2020-06-10,101.012,101.006,101.015,101.005,780460,7883459072.0,0.01,0.00,-0.005,7.01
2020-06-11,101.011,101.015,101.02,101.006,901724,9108524800.0,0.01,0.01,0.009,8.09
2020-06-12,101.022,101.029,101.03,101.013,1020266,10306795520.0,0.02,0.01,0.014,9.16
2020-06-15,101.026,101.039,101.041,101.025,805301,8136188672.0,0.02,0.01,0.010,7.23
2020-06-16,101.035,101.033,101.037,101.032,743737,7514312448.0,0.00,-0.01,-0.006,6.68
2020-06-17,101.035,101.035,101.038,101.033,815309,8237517824.0,0.00,0.00,0.002,7.32
